Timestamp,Price
1,6217.85
2,6201.85
3,6160.95
4,6241.1
5,6259.9
6,6363.9
7,6332.85
8,6307.9
9,6237.05
10,6168.4
11,6154.7
12,6139.05
13,6217.15
14,6166.65
15,6274.25
16,6284.5
17,6268.4
18,6278.9
19,6313.8
20,6291.1
21,6304
22,6221.15
23,6211.15
24,6191.45
25,6162.25
26,6174.6
27,6168.35
28,6171.45
29,6272.75
30,6241.85
31,6320.9
32,6318.9
33,6261.65
34,6303.95
35,6313.8
36,6338.95
37,6345.65
38,6266.75
39,6135.85
40,6126.25
41,6120.25
42,6073.7
43,6089.5
44,6001.8
45,6000.9
46,6022.4
47,6036.3
48,6063.2
49,6053.45
50,6062.7
51,6084
52,6001.1
53,6048.35
54,6073.3
55,6127.1
56,6152.75
57,6091.45
58,6155.45
59,6186.1
60,6200.05
61,6238.8
62,6276.95
63,6221.45
64,6297.95
65,6328.65
66,6401.15
67,6526.65
68,6537.25
69,6511.9
70,6516.9
71,6493.1
72,6504.2
73,6516.65
74,6524.05
75,6483.1
76,6493.2
77,6583.5
78,6589.75
79,6601.4
80,6641.75
81,6695.9
82,6704.2
83,6721.05
84,6752.55
85,6736.1
86,6694.35
87,6695.05
88,6796.2
89,6796.4
90,6776.3
91,6733.1
92,6675.3
93,6779.4
94,6817.65
95,6815.35
96,6840.8
97,6782.75
98,6761.25
99,6715.25
100,6696.4
101,6694.8
102,6699.35
103,6715.3
104,6652.55
105,6659.85
106,6858.8
107,7014.25
108,7108.75
109,7108.75
110,7123.15
111,7203
112,7263.55
113,7275.5
114,7252.9
115,7276.4
116,7367.1
117,7359.05
118,7318
119,7329.65
120,7235.65
121,7229.95
122,7362.5
123,7415.85
124,7402.25
125,7474.1
126,7583.4
127,7654.6
128,7656.4
129,7626.85
130,7649.9
131,7542.1
132,7533.55
133,7631.7
134,7558.2
135,7540.7
136,7511.45
137,7493.35
138,7580.2
139,7569.25
140,7493.2
141,7508.8
142,7611.35
143,7634.7
144,7725.15
145,7714.8
146,7751.6
147,7787.15
148,7623.2
149,7585
150,7567.75
151,7459.6
152,7454.15
153,7526.65
154,7624.4
155,7640.45
156,7663.9
157,7684.2
158,7767.85
159,7795.75
160,7830.6
161,7790.45
162,7748.7
163,7791.4
164,7721.3
165,7602.6
